ticker,company_name,sector_name
AMBO,Ambow Education Holding Ltd.,consumer-staples
RAY,Raytech Holding Limited,consumer-staples
GSUN,Golden Sun Technology Group Limited,consumer-staples
STKH,Steakholder Foods Ltd.,consumer-staples
TANH,Tantech Holdings Ltd,consumer-staples
EEIQ,EpicQuest Education Group International Limited,consumer-staples
AQB,"AquaBounty Technologies, Inc.",consumer-staples
MSS,Maison Solutions Inc.,consumer-staples
NCRA,"Nocera, Inc.",consumer-staples
SBEV,"Splash Beverage Group, Inc.",consumer-staples
SDOT,Sadot Group Inc.,consumer-staples
ORIS,Oriental Rise Holdings Limited,consumer-staples
LXEH,"Lixiang Education Holding Co., Ltd.",consumer-staples
ATPC,Agape ATP Corporation,consumer-staples
BYAH,"Park Ha Biological Technology Co., Ltd.",consumer-staples
RKDA,"Arcadia Biosciences, Inc.",consumer-staples
MEHA,Functional Brands Inc.,consumer-staples
IBG,Innovation Beverage Group Limited,consumer-staples
PAVS,Paranovus Entertainment Technology Ltd.,consumer-staples
KIDZ,"Classover Holdings, Inc.",consumer-staples
XXII,"22nd Century Group, Inc.",consumer-staples
GV,Visionary Holdings Inc.,consumer-staples
GNLN,"Greenlane Holdings, Inc.",consumer-staples
EDBL,Edible Garden AG Incorporated,consumer-staples
FCHL,Fitness Champs Holdings Limited,consumer-staples
